"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 10- 28","0.4568","0.4599","0.4663","0.4367","1.14B","-0.63%"
"2018- 10- 21","0.4597","0.4671","0.4830","0.4439","1.20B","-1.58%"
"2018- 10- 14","0.4671","0.4224","0.5100","0.3990","2.65B","10.60%"
"2018- 10- 07","0.4224","0.4889","0.4999","0.3782","3.06B","-13.60%"
"2018- 09- 30","0.4888","0.5698","0.6206","0.4691","3.46B","-14.21%"
"2018- 09- 23","0.5698","0.5734","0.5972","0.4363","4.63B","-0.62%"
"2018- 09- 16","0.5734","0.2804","0.7885","0.2671","7.14B","104.48%"
"2018- 09- 09","0.2804","0.2767","0.2904","0.2534","1.62B","1.33%"
"2018- 09- 02","0.2767","0.3469","0.3491","0.2689","1.68B","-20.23%"
"2018- 08- 26","0.3469","0.3273","0.3573","0.3186","1.49B","6.01%"
"2018- 08- 19","0.3273","0.3284","0.3542","0.3129","1.81B","-0.34%"
"2018- 08- 12","0.3284","0.2975","0.3736","0.2471","2.06B","10.36%"
"2018- 08- 05","0.2976","0.4296","0.4367","0.2881","1.50B","-30.75%"
"2018- 07- 29","0.4297","0.4568","0.4626","0.4260","1.07B","-5.93%"
"2018- 07- 22","0.4568","0.4550","0.4690","0.4385","901.37M","0.38%"
"2018- 07- 15","0.4550","0.4385","0.5236","0.4311","1.23B","3.77%"
"2018- 07- 08","0.4385","0.4857","0.4872","0.4252","990.84M","-9.72%"
"2018- 07- 01","0.4857","0.4649","0.5166","0.4497","1.47B","4.48%"
"2018- 06- 24","0.4649","0.4903","0.4953","0.4257","979.12M","-5.10%"
"2018- 06- 17","0.4898","0.5330","0.5612","0.4714","803.32M","-8.09%"
"2018- 06- 10","0.5330","0.6586","0.6587","0.5052","1.06B","-19.07%"
"2018- 06- 03","0.6586","0.6429","0.7043","0.6347","908.57M","2.45%"
"2018- 05- 27","0.6429","0.6088","0.6506","0.5444","943.58M","5.60%"
"2018- 05- 20","0.6088","0.6739","0.7047","0.5752","859.38M","-9.66%"
"2018- 05- 13","0.6739","0.6850","0.7495","0.6474","1.11B","-1.36%"
"2018- 05- 06","0.6832","0.9015","0.9175","0.6230","1.30B","-24.19%"
"2018- 04- 29","0.9012","0.8629","0.9305","0.7826","1.16B","4.44%"
"2018- 04- 22","0.8629","0.8662","0.9643","0.6779","1.60B","-0.34%"
"2018- 04- 15","0.8658","0.6405","0.9362","0.6369","1.55B","35.19%"
"2018- 04- 08","0.6405","0.4856","0.7090","0.4767","1.38B","31.89%"
"2018- 04- 01","0.4856","0.5013","0.5526","0.4558","778.16M","-3.05%"
"2018- 03- 25","0.5009","0.6292","0.6543","0.4737","956.45M","-20.38%"
"2018- 03- 18","0.6291","0.6294","0.7242","0.5394","1.24B","-0.06%"
"2018- 03- 11","0.6295","0.7755","0.8299","0.6172","875.57M","-18.82%"
"2018- 03- 04","0.7755","0.8985","1.0851","0.7336","1.41B","-13.70%"
"2018- 02- 25","0.8985","0.9022","0.9580","0.8763","490.62M","-0.40%"
"2018- 02- 18","0.9022","1.1781","1.1791","0.8537","882.31M","-23.42%"
"2018- 02- 11","1.1781","1.0286","1.2027","0.8941","1.37B","14.50%"
"2018- 02- 04","1.0289","0.9599","1.2286","0.5746","2.63B","7.20%"
"2018- 01- 28","0.9598","1.2215","1.3939","0.6653","1.93B","-21.42%"
"2018- 01- 21","1.2214","1.6010","1.6020","1.1210","1.28B","-23.73%"
"2018- 01- 14","1.6015","2.0399","2.0414","0.8853","","-21.50%"
"2018- 01- 07","2.0401","2.6500","2.8200","1.6439","439.40M","-23.02%"
"2017- 12- 31","2.6500","1.8600","3.2900","1.6100","1.95B","42.47%"
"2017- 12- 24","1.8600","1.0100","2.4400","0.8253","2.53B","84.16%"
"2017- 12- 17","1.0100","0.7397","1.2400","0.6203","3.03B","36.54%"
"2017- 12- 10","0.7397","0.2353","0.8809","0.2223","3.65B","214.36%"
"2017- 12- 03","0.2353","0.2441","0.2586","0.2005","1.29B","-3.61%"
"2017- 11- 26","0.2441","0.2489","0.2806","0.2128","1.04B","-1.89%"
"2017- 11- 19","0.2488","0.2275","0.2531","0.2231","703.74M","9.36%"
"2017- 11- 12","0.2275","0.2092","0.2809","0.1861","1.01B","8.75%"
"2017- 11- 05","0.2092","0.2014","0.2235","0.1981","461.49M","3.82%"
"2017- 10- 29","0.2015","0.1981","0.2263","0.1755","403.57M","1.66%"
"2017- 10- 22","0.1982","0.2097","0.2169","0.1830","402.28M","-5.48%"
"2017- 10- 15","0.2097","0.2556","0.2977","0.1971","1.00B","-17.96%"
"2017- 10- 08","0.2556","0.2397","0.2811","0.2330","889.78M","6.63%"
"2017- 10- 01","0.2397","0.1999","0.2444","0.1965","451.14M","19.91%"
"2017- 09- 24","0.1999","0.1791","0.2146","0.1733","369.69M","11.61%"
"2017- 09- 17","0.1791","0.1828","0.1946","0.1675","269.80M","-2.02%"
"2017- 09- 10","0.1828","0.2130","0.2243","0.1483","522.52M","-14.18%"
"2017- 09- 03","0.2130","0.2252","0.2381","0.1901","467.44M","-5.42%"
"2017- 08- 27","0.2252","0.2097","0.2648","0.1930","697.55M","7.39%"
"2017- 08- 20","0.2097","0.1526","0.2977","0.1494","1.24B","37.42%"
"2017- 08- 13","0.1526","0.1716","0.1801","0.1483","372.13M","-11.07%"
"2017- 08- 06","0.1716","0.1848","0.1972","0.1707","289.00M","-7.14%"
"2017- 07- 30","0.1848","0.1690","0.1928","0.1585","246.27M","9.35%"
"2017- 07- 23","0.1690","0.1977","0.2065","0.1550","247.76M","-14.52%"
"2017- 07- 16","0.1977","0.1720","0.2022","0.1275","457.03M","14.94%"
"2017- 07- 09","0.1720","0.2300","0.2422","0.1511","303.04M","-25.22%"
"2017- 07- 02","0.2300","0.2386","0.2581","0.2112","137.61M","-3.60%"
"2017- 06- 25","0.2386","0.2775","0.2816","0.2184","208.89M","-14.02%"
"2017- 06- 18","0.2775","0.2597","0.3250","0.2470","325.16M","6.85%"
"2017- 06- 11","0.2597","0.2598","0.3000","0.2140","256.70M","-0.04%"
"2017- 06- 04","0.2598","0.2921","0.3100","0.2555","192.42M","-11.06%"
"2017- 05- 28","0.2921","0.2100","0.3400","0.1868","394.69M","39.10%"
"2017- 05- 21","0.2100","0.3449","0.3600","0.1350","478.29M","-39.11%"
"2017- 05- 14","0.3449","0.2102","0.3989","0.2076","451.25M","64.08%"
"2017- 05- 07","0.2102","0.1001","0.2240","0.0972","620.69M","109.99%"
"2017- 04- 30","0.1001","0.0538","0.1050","0.0490","653.72M","85.96%"
"2017- 04- 23","0.0538","0.0316","0.0595","0.0309","401.72M","70.35%"
"2017- 04- 16","0.0316","0.0338","0.0347","0.0264","268.29M","-6.54%"
"2017- 04- 09","0.0338","0.0358","0.0359","0.0320","212.36M","-5.43%"
"2017- 04- 02","0.0358","0.0220","0.0695","0.0075","1.27B","62.50%"
"2017- 03- 26","0.0220","0.0089","0.0232","0.0089","554.66M","147.75%"
"2017- 03- 19","0.0089","0.0069","0.0118","0.0064","436.17M","29.07%"
"2017- 03- 12","0.0069","0.0063","0.0073","0.0058","221.68M","10.08%"
"2017- 03- 05","0.0063","0.0062","0.0069","0.0058","128.40M","0.00%"
"2017- 02- 26","0.0062","0.0056","0.0067","0.0052","90.99M","10.12%"
"2017- 02- 19","0.0056","0.0055","0.0060","0.0055","23.12M","1.62%"
"2017- 02- 12","0.0055","0.0064","0.0064","0.0050","100.48M","-13.17%"
"2017- 02- 05","0.0064","0.0064","0.0065","0.0060","26.29M","-0.93%"
"2017- 01- 29","0.0064","0.0064","0.0066","0.0062","18.80M","0.00%"
"2017- 01- 22","0.0064","0.0068","0.0068","0.0030","16.13M","-6.58%"
"2017- 01- 15","0.0068","0.0068","0.0072","0.0064","28.83M","0.00%"
"2017- 01- 08","0.0068","0.0064","0.0071","0.0061","17.58M","6.79%"
"2017- 01- 01","0.0064","0.0065","0.0069","0.0057","1.97B","-2.27%"
"2016- 12- 25","0.0065","0.0064","0.0069","0.0060","3.39M","1.13%"
"2016- 12- 18","0.0064","0.0065","0.0067","0.0060","3.21M","-0.80%"
"2016- 12- 11","0.0065","0.0067","0.0069","0.0065","1.50M","-3.74%"
"2016- 12- 04","0.0067","0.0067","0.0073","0.0063","1.45M","1.29%"
"2016- 11- 27","0.0067","0.0070","0.0070","0.0064","2.21M","-4.52%"
"2016- 11- 20","0.0070","0.0077","0.0077","0.0068","3.45M","-9.34%"
"2016- 11- 13","0.0077","0.0081","0.0082","0.0076","2.57M","-5.18%"
"2016- 11- 06","0.0081","0.0082","0.0085","0.0077","1.80M","-1.23%"
"2016- 10- 30","0.0082","0.0077","0.0084","0.0076","4.68M","6.18%"
"2016- 10- 23","0.0077","0.0089","0.0095","0.0072","4.47M","-12.93%"
"2016- 10- 16","0.0089","0.0080","0.0093","0.0079","5.09M","11.01%"
"2016- 10- 09","0.0080","0.0074","0.0090","0.0073","4.03M","7.43%"
"2016- 10- 02","0.0074","0.0080","0.0084","0.0071","2.53M","-6.72%"
"2016- 09- 25","0.0080","0.0075","0.0095","0.0072","8.11M","6.43%"
"2016- 09- 18","0.0075","0.0071","0.0075","0.0066","4.11M","5.96%"
"2016- 09- 11","0.0071","0.0059","0.0115","0.0058","12.64M","19.62%"
"2016- 09- 04","0.0059","0.0060","0.0062","0.0058","3.10M","-1.87%"
"2016- 08- 28","0.0060","0.0059","0.0067","0.0058","3.59M","2.20%"
"2016- 08- 21","0.0059","0.0062","0.0063","0.0056","1.72M","-4.90%"
"2016- 08- 14","0.0062","0.0062","0.0064","0.0050","2.04M","0.00%"
"2016- 08- 07","0.0062","0.0063","0.0066","0.0059","3.14M","-1.90%"
"2016- 07- 31","0.0063","0.0062","0.0069","0.0048","3.71M","1.61%"
"2016- 07- 24","0.0062","0.0064","0.0065","0.0058","2.12M","-3.12%"
"2016- 07- 17","0.0064","0.0067","0.0069","0.0062","2.51M","-4.58%"
"2016- 07- 10","0.0067","0.0065","0.0068","0.0062","2.89M","2.41%"
"2016- 07- 03","0.0065","0.0066","0.0070","0.0061","4.45M","-0.92%"
"2016- 06- 26","0.0066","0.0065","0.0075","0.0063","9.34M","2.02%"
"2016- 06- 19","0.0065","0.0065","0.0100","0.0058","21.22M","0.00%"
"2016- 06- 12","0.0065","0.0057","0.0200","0.0054","19.57M","14.36%"
"2016- 06- 05","0.0057","0.0059","0.0059","0.0055","3.28M","-3.48%"
"2016- 05- 29","0.0059","0.0049","0.0062","0.0049","1.65M","21.47%"
"2016- 05- 22","0.0049","0.0060","0.0060","0.0049","778.12K","-18.44%"
"2016- 05- 15","0.0060","0.0060","0.0062","0.0057","912.14K","-1.64%"
"2016- 05- 08","0.0060","0.0063","0.0065","0.0057","846.91K","-4.65%"
"2016- 05- 01","0.0063","0.0069","0.0069","0.0061","644.83K","-7.80%"
"2016- 04- 24","0.0069","0.0074","0.0075","0.0064","54.85K","-6.47%"
"2016- 04- 17","0.0074","0.0065","0.0078","0.0062","191.48K","12.34%"
"2016- 04- 10","0.0065","0.0062","0.0065","0.0056","398.68K","5.26%"
"2016- 04- 03","0.0062","0.0076","0.0076","0.0060","404.57K","-17.81%"
"2016- 03- 27","0.0076","0.0081","0.0081","0.0069","803.85K","-6.87%"
"2016- 03- 20","0.0081","0.0078","0.0085","0.0078","562.42K","3.94%"
"2016- 03- 13","0.0078","0.0081","0.0089","0.0072","560.44K","-3.93%"
"2016- 03- 06","0.0081","0.0073","0.0097","0.0072","813.44K","10.87%"
"2016- 02- 28","0.0073","0.0078","0.0085","0.0073","722.70K","-5.87%"
"2016- 02- 21","0.0078","0.0079","0.0084","0.0075","132.72K","-1.22%"
"2016- 02- 14","0.0079","0.0084","0.0090","0.0073","1.04M","-6.45%"
"2016- 02- 07","0.0084","0.0080","0.1000","0.0064","1.08M","5.50%"
"2016- 01- 31","0.0080","0.0063","0.0080","0.0053","32.47K","26.38%"
"2016- 01- 24","0.0063","0.0051","0.0078","0.0050","222.98K","23.63%"
"2016- 01- 17","0.0051","0.0049","0.0056","0.0049","38.98K","4.66%"
"2016- 01- 10","0.0049","0.0054","0.0054","0.0040","28.18K","22.30%"
"2016- 01- 03","0.0040","0.0051","0.0056","0.0040","27.66K","-21.95%"
"2015- 12- 27","0.0051","0.0051","0.0055","0.0049","12.09K","-11.64%"
"2015- 12- 20","0.0058","0.0050","0.0067","0.0047","42.37K","5.45%"
"2015- 12- 13","0.0055","0.0061","0.0070","0.0043","691.56K","-10.29%"
"2015- 12- 06","0.0061","0.0043","0.0100","0.0043","180.10K","44.26%"
"2015- 11- 29","0.0043","0.0040","0.0048","0.0038","89.16K","6.25%"
"2015- 11- 22","0.0040","0.0043","0.0044","0.0040","17.75K","-1.43%"
"2015- 11- 15","0.0041","0.0043","0.0045","0.0040","31.87K","-15.46%"
"2015- 11- 08","0.0048","0.0044","0.0050","0.0040","29.00K","7.87%"
"2015- 11- 01","0.0044","0.0050","0.0055","0.0040","80.20K","-11.58%"
"2015- 10- 25","0.0050","0.0046","0.0055","0.0040","72.17K","9.41%"
"2015- 10- 18","0.0046","0.0050","0.0055","0.0045","2.17K","-8.93%"
"2015- 10- 11","0.0051","0.0052","0.0070","0.0050","4.26K","-38.78%"
"2015- 10- 04","0.0082","0.0051","0.0082","0.0044","4.97K","57.14%"
"2015- 09- 27","0.0052","0.0056","0.0072","0.0052","0.88K","-20.41%"
"2015- 09- 20","0.0066","0.0077","0.0077","0.0066","3.41K","-14.34%"
"2015- 09- 13","0.0077","0.0076","0.0080","0.0072","","1.99%"
"2015- 09- 06","0.0076","0.0080","0.0085","0.0070","4.34K","-5.63%"
"2015- 08- 30","0.0080","0.0087","0.0095","0.0055","0.01K","-8.36%"
"2015- 08- 23","0.0087","0.0080","0.0095","0.0055","0.00K","8.99%"
"2015- 08- 16","0.0080","0.0080","0.0090","0.0078","0.36K","0.00%"
"2015- 08- 09","0.0080","0.0090","0.0092","0.0080","0.28K","-11.00%"
"2015- 08- 02","0.0090","0.0084","0.0093","0.0080","1.00K","7.02%"
"2015- 07- 26","0.0084","0.0077","0.0088","0.0076","0.00K","9.22%"
"2015- 07- 19","0.0077","0.0080","0.0085","0.0071","0.00K","-3.75%"
"2015- 07- 12","0.0080","0.0082","0.0090","0.0079","0.85K","-3.03%"
"2015- 07- 05","0.0082","0.0109","0.0109","0.0056","7.13K","-24.31%"
"2015- 06- 28","0.0109","0.0110","0.0150","0.0084","0.22K","-0.91%"
"2015- 06- 21","0.0110","0.0141","0.0150","0.0100","10.92K","-21.99%"
"2015- 06- 14","0.0141","0.0080","0.0150","0.0080","6.89K","78.48%"
"2015- 06- 07","0.0079","0.0089","0.0089","0.0056","1.36K","-11.43%"
"2015- 05- 31","0.0089","0.0081","0.0090","0.0056","24.73K","10.11%"
"2015- 05- 24","0.0081","0.0071","0.0150","0.0050","5.83K","14.15%"
"2015- 05- 17","0.0071","0.0065","0.0071","0.0046","0.02K","9.42%"
"2015- 05- 10","0.0065","0.0078","0.0078","0.0065","1.43K","-16.86%"
"2015- 05- 03","0.0078","0.0084","0.0085","0.0067","0.00K","-7.59%"
"2015- 04- 26","0.0084","0.0080","0.0085","0.0076","0.02K","5.24%"
"2015- 04- 19","0.0080","0.0083","0.0115","0.0036","3.29K","-3.02%"
"2015- 04- 12","0.0083","0.0080","0.0091","0.0080","","3.39%"
"2015- 04- 05","0.0080","0.0094","0.0098","0.0079","0.03K","-14.60%"
"2015- 03- 29","0.0094","0.0089","0.0099","0.0075","0.00K","4.67%"
"2015- 03- 22","0.0089","0.0101","0.0102","0.0080","","-11.47%"
"2015- 03- 15","0.0101","0.0111","0.0150","0.0075","0.00K","-9.08%"
"2015- 03- 08","0.0111","0.0103","0.0120","0.0077","11.36K","7.96%"
"2015- 03- 01","0.0103","0.0118","0.0135","0.0066","60.97K","-12.56%"
"2015- 02- 22","0.0118","0.0131","0.0140","0.0116","0.04K","-9.87%"
"2015- 02- 15","0.0131","0.0120","0.0151","0.0120","0.00K","8.92%"
"2015- 02- 08","0.0120","0.0147","0.0151","0.0110","","-18.26%"
"2015- 02- 01","0.0147","0.0150","0.0170","0.0130","0.66K","-2.07%"
"2015- 01- 25","0.0150","0.0174","0.0175","0.0131","2.23K","-13.80%"
