"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 06- 16","0.4866","0.4906","0.5198","0.4768","4.39B","-0.82%"
"2024- 06- 09","0.4906","0.4927","0.5056","0.4628","3.45B","-0.43%"
"2024- 06- 02","0.4927","0.5185","0.5322","0.4599","3.74B","-4.97%"
"2024- 05- 26","0.5185","0.5416","0.5418","0.5129","3.05B","-4.26%"
"2024- 05- 19","0.5416","0.5213","0.5565","0.5067","4.16B","3.91%"
"2024- 05- 12","0.5212","0.5059","0.5287","0.4869","3.15B","3.03%"
"2024- 05- 05","0.5059","0.5301","0.5692","0.4979","3.83B","-4.57%"
"2024- 04- 28","0.5301","0.5179","0.5407","0.4795","4.02B","2.37%"
"2024- 04- 21","0.5179","0.5288","0.5709","0.5103","4.37B","-2.08%"
"2024- 04- 14","0.5288","0.4782","0.5299","0.4643","5.96B","10.58%"
"2024- 04- 07","0.4783","0.5929","0.6418","0.4312","5.91B","-19.34%"
"2024- 03- 31","0.5929","0.6215","0.6328","0.5626","4.86B","-4.60%"
"2024- 03- 24","0.6215","0.6167","0.6619","0.6047","5.05B","0.77%"
"2024- 03- 17","0.6167","0.6030","0.6677","0.5695","7.44B","2.28%"
"2024- 03- 10","0.6030","0.6200","0.7435","0.5857","10.46B","-2.75%"
"2024- 03- 03","0.6201","0.6440","0.6681","0.5454","8.90B","-3.74%"
"2024- 02- 25","0.6442","0.5449","0.6496","0.5289","7.08B","18.21%"
"2024- 02- 18","0.5449","0.5496","0.5748","0.5260","3.90B","-0.85%"
"2024- 02- 11","0.5496","0.5238","0.5782","0.5145","4.14B","4.93%"
"2024- 02- 04","0.5238","0.5186","0.5281","0.4976","2.92B","1.00%"
"2024- 01- 28","0.5186","0.5303","0.5397","0.4904","3.37B","-2.21%"
"2024- 01- 21","0.5303","0.5537","0.5552","0.4965","2.84B","-4.23%"
"2024- 01- 14","0.5537","0.5747","0.5929","0.5227","2.82B","-3.65%"
"2024- 01- 07","0.5747","0.5680","0.6224","0.5451","3.99B","1.20%"
"2023- 12- 31","0.5679","0.6207","0.6394","0.5021","4.15B","-8.51%"
"2023- 12- 24","0.6207","0.6195","0.6569","0.6029","3.71B","0.19%"
"2023- 12- 17","0.6195","0.6204","0.6310","0.5814","3.41B","-0.13%"
"2023- 12- 10","0.6204","0.6585","0.6710","0.5950","3.74B","-5.79%"
"2023- 12- 03","0.6585","0.6190","0.6994","0.5910","4.27B","6.37%"
"2023- 11- 26","0.6190","0.6225","0.6366","0.5939","2.71B","-0.56%"
"2023- 11- 19","0.6225","0.6106","0.6286","0.5737","2.93B","1.96%"
"2023- 11- 12","0.6106","0.6627","0.7478","0.5866","3.81B","-7.87%"
"2023- 11- 05","0.6627","0.6151","0.7317","0.6141","5.93B","7.75%"
"2023- 10- 29","0.6151","0.5446","0.6250","0.5410","4.41B","12.94%"
"2023- 10- 22","0.5446","0.5211","0.5839","0.5132","4.40B","4.51%"
"2023- 10- 15","0.5211","0.4865","0.5314","0.4777","3.06B","7.11%"
"2023- 10- 08","0.4865","0.5215","0.5234","0.4746","2.16B","-6.71%"
"2023- 10- 01","0.5215","0.5148","0.5470","0.5064","2.79B","1.30%"
"2023- 09- 24","0.5148","0.5076","0.5463","0.4919","3.29B","1.42%"
"2023- 09- 17","0.5076","0.4997","0.5249","0.4886","2.75B","1.58%"
"2023- 09- 10","0.4997","0.5038","0.5066","0.4624","2.90B","-0.82%"
"2023- 09- 03","0.5038","0.4988","0.5126","0.4919","2.57B","1.00%"
"2023- 08- 27","0.4988","0.5231","0.5475","0.4881","3.51B","-4.64%"
"2023- 08- 20","0.5231","0.5200","0.5554","0.5048","4.30B","0.60%"
"2023- 08- 13","0.5200","0.6276","0.6382","0.4334","5.80B","-17.12%"
"2023- 08- 06","0.6274","0.6288","0.6653","0.6003","3.77B","-0.22%"
"2023- 07- 30","0.6288","0.7121","0.7335","0.6121","3.98B","-11.70%"
"2023- 07- 23","0.7121","0.7329","0.7513","0.6754","3.79B","-2.84%"
"2023- 07- 16","0.7329","0.7145","0.8489","0.7053","6.30B","2.57%"
"2023- 07- 09","0.7145","0.4704","0.9214","0.4638","8.59B","51.89%"
"2023- 07- 02","0.4704","0.4731","0.4956","0.4586","2.63B","-0.61%"
"2023- 06- 25","0.4733","0.4866","0.4970","0.4507","2.98B","-2.74%"
"2023- 06- 18","0.4866","0.4794","0.5270","0.4730","3.26B","1.50%"
"2023- 06- 11","0.4794","0.5068","0.5634","0.4573","3.99B","-5.41%"
"2023- 06- 04","0.5068","0.5188","0.5461","0.4770","3.67B","-2.31%"
"2023- 05- 28","0.5188","0.4718","0.5321","0.4700","3.36B","9.96%"
"2023- 05- 21","0.4718","0.4684","0.4785","0.4438","2.57B","0.72%"
"2023- 05- 14","0.4684","0.4240","0.4746","0.4189","3.28B","10.48%"
"2023- 05- 07","0.4240","0.4582","0.4599","0.4116","3.36B","-7.46%"
"2023- 04- 30","0.4582","0.4780","0.4818","0.4504","2.72B","-4.14%"
"2023- 04- 23","0.4780","0.4719","0.4859","0.4364","3.81B","1.29%"
"2023- 04- 16","0.4719","0.5193","0.5375","0.4404","3.89B","-9.13%"
"2023- 04- 09","0.5193","0.5050","0.5453","0.4992","3.18B","2.84%"
"2023- 04- 02","0.5050","0.5095","0.5288","0.4838","3.34B","-0.89%"
