"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 27","35,142,000","35,351,000","37,849,000","34,863,000","5.14K","-0.59%"
"2023- 08- 20","35,351,000","36,033,000","36,276,000","35,035,000","2.94K","-1.87%"
"2023- 08- 13","36,023,000","39,280,000","39,625,000","35,341,000","4.96K","-8.27%"
"2023- 08- 06","39,269,000","38,480,000","39,881,000","38,080,000","2.30K","2.05%"
"2023- 07- 30","38,480,000","37,893,000","39,125,000","37,441,000","2.59K","1.55%"
"2023- 07- 23","37,892,000","38,781,000","39,219,000","37,605,000","2.18K","-2.29%"
"2023- 07- 16","38,780,000","38,883,000","39,109,000","38,100,000","2.73K","-0.26%"
"2023- 07- 09","38,883,000","40,110,000","40,752,000","38,705,000","5.26K","-3.06%"
"2023- 07- 02","40,110,000","40,710,000","41,448,000","39,717,000","2.22K","-1.45%"
"2023- 06- 25","40,701,000","40,652,000","41,490,000","39,561,000","2.27K","0.12%"
"2023- 06- 18","40,652,000","34,748,000","41,367,000","34,394,000","4.21K","16.99%"
"2023- 06- 11","34,748,000","34,329,000","34,995,000","32,452,000","3.30K","1.22%"
"2023- 06- 04","34,329,000","35,866,000","36,079,000","33,619,000","2.78K","-4.29%"
"2023- 05- 28","35,866,000","35,854,000","37,844,000","35,450,000","1.80K","0.03%"
"2023- 05- 21","35,856,000","36,398,000","36,628,000","34,933,000","1.54K","-1.49%"
"2023- 05- 14","36,398,000","36,365,000","37,200,000","35,806,000","1.93K","0.10%"
"2023- 05- 07","36,363,000","38,631,000","38,929,000","35,220,000","3.59K","-5.87%"
"2023- 04- 30","38,631,000","38,957,000","39,825,000","37,320,000","3.94K","-0.84%"
"2023- 04- 23","38,959,000","37,206,000","39,825,000","36,170,000","4.31K","4.67%"
"2023- 04- 16","37,222,000","39,831,000","39,880,000","36,075,000","4.72K","-6.55%"
"2023- 04- 09","39,832,000","37,086,000","40,500,000","36,870,000","4.59K","7.40%"
"2023- 04- 02","37,086,000","37,580,000","37,786,000","36,390,000","3.10K","-1.33%"
"2023- 03- 26","37,587,000","36,726,000","38,380,000","35,265,000","4.58K","2.38%"
"2023- 03- 19","36,715,000","35,738,000","38,377,000","35,606,000","9.82K","2.73%"
"2023- 03- 12","35,739,000","27,714,000","36,659,000","27,253,000","13.36K","28.97%"
